trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.02, 'e': 1.0}",30,0,-100.9738911687716,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.02, 'e': 0.9998875021093592}",20,0,-112.54552999822538,"{0: 8, 1: 4, 2: 6, 3: 2, 4: 0}",0
3,False,"{'a': 0.02, 'e': 0.9996875162757026}",25,0,-150.30316421705388,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
4,False,"{'a': 0.02, 'e': 0.9992969573935987}",30,0,-65.41208135694515,"{0: 21, 1: 1, 2: 8, 3: 0, 4: 0}",0
5,False,"{'a': 0.02, 'e': 0.9986221915090054}",20,0,-13.382908702627988,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
6,False,"{'a': 0.02, 'e': 0.9980475107000991}",20,0,-94.33811591029783,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
7,False,"{'a': 0.02, 'e': 0.9973730259718263}",25,0,-44.542934594351216,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.02, 'e': 0.9963896745022904}",25,0,-217.38110832584022,"{0: 10, 1: 4, 2: 7, 3: 1, 4: 3}",0
9,False,"{'a': 0.02, 'e': 0.9952506391732631}",30,0,-172.83189040921025,"{0: 18, 1: 1, 2: 7, 3: 2, 4: 2}",0
10,False,"{'a': 0.02, 'e': 0.9936785463792964}",30,0,-193.1706429797968,"{0: 17, 1: 4, 2: 5, 3: 1, 4: 3}",0
11,False,"{'a': 0.02, 'e': 0.9918828801044445}",25,0,-165.86621761460844,"{0: 11, 1: 4, 2: 6, 3: 3, 4: 1}",0
12,False,"{'a': 0.02, 'e': 0.9902159962126371}",20,0,-90.01909118755438,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.02, 'e': 0.9887710779360422}",25,0,-177.56765960052266,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
