trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-236.83455457874672,"{0: 13, 1: 3, 2: 10, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.52612174257018,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,2,-114.53606351062679,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-176.52087420763314,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,17,-12.246490360265195,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.11906437046908,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",35,0,-168.64266970546905,"{0: 22, 1: 2, 2: 4, 3: 7, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-146.0834392111105,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.16775281719809,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-187.83493946633817,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.60085078527383,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-140.11783650148422,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-8.343020863708375,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-187.3544609160677,"{0: 11, 1: 3, 2: 7, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-175.98001633463048,"{0: 14, 1: 2, 2: 4, 3: 3, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-156.38980929535188,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-201.0662928781997,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 4}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-171.24161760302613,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",35,0,-380.59129548799547,"{0: 16, 1: 4, 2: 6, 3: 2, 4: 7}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-118.9859877910361,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-93.51308022377653,"{0: 16, 1: 2, 2: 4, 3: 3, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-191.8098181305841,"{0: 12, 1: 6, 2: 2, 3: 2, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-90.49154809689384,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,5,-109.06593787294594,"{0: 6, 1: 3, 2: 4, 3: 1, 4: 1}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-105.37248998387966,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-111.29189514899139,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",35,0,-344.8467261847841,"{0: 13, 1: 6, 2: 7, 3: 5, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-166.45850501036495,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-170.83744788949735,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-142.5398094182412,"{0: 14, 1: 4, 2: 2, 3: 4, 4: 1}",0
